emoji,emotion,hex,rgb,vibe,intensity
😲,surprise,#FFF4B0,"255,244,176",soft,3
🫲,sleepy,#7C74B8,"124,116,184",earthy,3
😭,sadness,#4A6FA5,"74,111,165",earthy,3
🤢,disgust,#6A8F27,"106,143,39",deep,4
😠,anger,#B80000,"184,0,0",deep,3
😔,sadness,#4A6FA5,"74,111,165",clean,5
💭,thinking,#C8C8D4,"200,200,212",mellow,2
🌊,calm,#A5E6E6,"165,230,230",clean,2
😮,surprise,#FFFACD,"255,250,205",bright,2
😤,anger,#D60000,"214,0,0",cold,1
😾,anger,#E12B2B,"225,43,43",warm,2
👓,thinking,#9CA1AA,"156,161,170",serious,3
😭,sadness,#4A6FA5,"74,111,165",deep,4
👓,thinking,#9CA1AA,"156,161,170",clean,4
🤍,calm,#95E0E0,"149,224,224",bright,4
😀,joy,#FFC94D,"255,201,77",bright,2
💭,thinking,#D1D4DD,"209,212,221",deep,4
😖,disgust,#A8D27A,"168,210,122",deep,4
😮,surprise,#FFFACD,"255,250,205",serious,3
🗯️,anger,#E12B2B,"225,43,43",warm,5
😆,joy,#FFD438,"255,212,56",cold,5
📢,surprise,#FFFACD,"255,250,205",clean,4
🥳,joy,#FFDF57,"255,223,87",mellow,4
😁,joy,#FFC94D,"255,201,77",playful,1
🕸️,fear,#C3C9FF,"195,201,255",deep,2
😊,joy,#FFC94D,"255,201,77",clean,1
👻,fear,#B7C8FF,"183,200,255",earthy,1
🤍,calm,#A5E6E6,"165,230,230",deep,1
😌,calm,#A5E6E6,"165,230,230",mellow,4
🌊,calm,#A5E6E6,"165,230,230",earthy,5
😱,fear,#B7C8FF,"183,200,255",deep,1
😘,love,#FF4F88,"255,79,136",bright,5
🕷️,fear,#C3C9FF,"195,201,255",cold,1
📚,thinking,#9CA1AA,"156,161,170",soft,2
🛏️,sleepy,#A59ED9,"165,158,217",earthy,5
💡,thinking,#9CA1AA,"156,161,170",mellow,4
💗,love,#FF5C9A,"255,92,154",bright,4
😔,sadness,#7BA7D9,"123,167,217",serious,4
💎,calm,#C9F4F4,"201,244,244",bright,1
😥,sadness,#7BA7D9,"123,167,217",serious,1
💤,calm,#A5E6E6,"165,230,230",soft,3
😤,anger,#D60000,"214,0,0",clean,2
🪰,disgust,#A8D27A,"168,210,122",soft,1
😡,anger,#B80000,"184,0,0",bright,1
🧘,calm,#C9F4F4,"201,244,244",playful,1
💧,sadness,#A3C4E9,"163,196,233",mellow,4
📘,thinking,#9CA1AA,"156,161,170",deep,2
😊,joy,#FFD438,"255,212,56",earthy,4
😳,surprise,#FFF48A,"255,244,138",bright,2
🔍,thinking,#9CA1AA,"156,161,170",deep,4
😔,sadness,#4A6FA5,"74,111,165",deep,1
😿,sadness,#4A6FA5,"74,111,165",warm,4
😠,anger,#FF3D3D,"255,61,61",serious,3
🗯️,anger,#D60000,"214,0,0",soft,5
😲,surprise,#FFFACD,"255,250,205",clean,4
😞,sadness,#A3C4E9,"163,196,233",mellow,3
🗯️,anger,#D60000,"214,0,0",bright,4
🥰,love,#FF4F88,"255,79,136",bright,5
💧,sadness,#7BA7D9,"123,167,217",bright,1
🥰,love,#FF4F88,"255,79,136",cold,1
😡,anger,#B80000,"184,0,0",deep,4
💎,calm,#C9F4F4,"201,244,244",serious,3
🌊,calm,#95E0E0,"149,224,224",bright,3
📘,thinking,#C8C8D4,"200,200,212",deep,2
😨,fear,#B7C8FF,"183,200,255",soft,4
🤍,calm,#95E0E0,"149,224,224",deep,1
👓,thinking,#D1D4DD,"209,212,221",warm,5
🧟,fear,#9BB5FF,"155,181,255",warm,5
🌿,calm,#95E0E0,"149,224,224",playful,2
☠️,fear,#B7C8FF,"183,200,255",mellow,3
😊,joy,#FFC94D,"255,201,77",bright,5
💗,love,#FF4F88,"255,79,136",warm,1
😔,sadness,#4A6FA5,"74,111,165",deep,2
🪣,sadness,#5F84B8,"95,132,184",bright,1
🌊,calm,#C9F4F4,"201,244,244",playful,1
👻,fear,#C3C9FF,"195,201,255",mellow,2
💭,thinking,#9CA1AA,"156,161,170",soft,5
😲,surprise,#FFFACD,"255,250,205",playful,2
📝,thinking,#9CA1AA,"156,161,170",earthy,4
🤮,disgust,#A8D27A,"168,210,122",warm,2
✏️,thinking,#B7BBC3,"183,187,195",earthy,3
😠,anger,#D60000,"214,0,0",soft,4
✨,surprise,#FFEB6E,"255,235,110",soft,2
⚡,surprise,#FFF48A,"255,244,138",playful,4
😁,joy,#FFD438,"255,212,56",deep,2
🤯,surprise,#FFEB6E,"255,235,110",serious,2
😮,surprise,#FFFACD,"255,250,205",earthy,2
🔍,thinking,#C8C8D4,"200,200,212",serious,3
😘,love,#FF7FBF,"255,127,191",bright,1
🪣,sadness,#5F84B8,"95,132,184",serious,4
💡,thinking,#D1D4DD,"209,212,221",warm,1
🤬,anger,#B80000,"184,0,0",warm,5
🛌,sleepy,#6B62A6,"107,98,166",deep,1
💘,love,#FF4F88,"255,79,136",earthy,3
🪐,sleepy,#8A84C8,"138,132,200",cold,3
💡,thinking,#C8C8D4,"200,200,212",serious,3
🪦,fear,#C3C9FF,"195,201,255",warm,4
🪣,sadness,#7BA7D9,"123,167,217",serious,3
🪰,disgust,#4A7D2D,"74,125,45",soft,2
🌿,calm,#A5E6E6,"165,230,230",serious,5
😡,anger,#E12B2B,"225,43,43",clean,5
👿,anger,#D60000,"214,0,0",deep,3
📚,thinking,#9CA1AA,"156,161,170",playful,4
🎐,calm,#C9F4F4,"201,244,244",bright,1
😌,calm,#A5E6E6,"165,230,230",mellow,3
🛏️,sleepy,#6B62A6,"107,98,166",clean,4
🤬,anger,#B80000,"184,0,0",bright,5
🟥,anger,#E12B2B,"225,43,43",deep,2
😞,sadness,#4A6FA5,"74,111,165",soft,3
💎,calm,#95E0E0,"149,224,224",serious,2
🦇,fear,#7DA7FF,"125,167,255",cold,4
👿,anger,#FF3D3D,"255,61,61",clean,4
🌙,sleepy,#6B62A6,"107,98,166",serious,3
🤯,surprise,#FFFACD,"255,250,205",mellow,4
🕸️,fear,#C3C9FF,"195,201,255",playful,4
🦠,disgust,#A8D27A,"168,210,122",bright,4
🎉,surprise,#FFF4B0,"255,244,176",mellow,2
🦇,fear,#C3C9FF,"195,201,255",mellow,4
🧟,fear,#B7C8FF,"183,200,255",bright,3
🌊,calm,#7BCFCF,"123,207,207",clean,5
🕸️,fear,#B7C8FF,"183,200,255",bright,3
🫲,sleepy,#8A84C8,"138,132,200",bright,4
🫠,disgust,#4A7D2D,"74,125,45",soft,4
☁️,calm,#C9F4F4,"201,244,244",cold,1
😮,surprise,#FFF48A,"255,244,138",clean,1
💡,thinking,#D1D4DD,"209,212,221",earthy,1
🔥,anger,#D60000,"214,0,0",warm,1
💢,anger,#B80000,"184,0,0",serious,3
🤔,thinking,#C8C8D4,"200,200,212",bright,1
😞,sadness,#7BA7D9,"123,167,217",playful,2
💗,love,#FF6DAA,"255,109,170",mellow,3
🛌,sleepy,#6B62A6,"107,98,166",cold,3
✏️,thinking,#B7BBC3,"183,187,195",serious,1
💤,sleepy,#7C74B8,"124,116,184",bright,2
😴,sleepy,#8A84C8,"138,132,200",playful,1
💘,love,#FF6DAA,"255,109,170",deep,1
😀,joy,#FFD438,"255,212,56",deep,1
💓,love,#FF7FBF,"255,127,191",warm,5
🤔,thinking,#B7BBC3,"183,187,195",cold,2
💫,surprise,#FFFACD,"255,250,205",earthy,2
😴,sleepy,#8A84C8,"138,132,200",warm,5
🪰,disgust,#6A8F27,"106,143,39",deep,4
🦠,disgust,#6A8F27,"106,143,39",mellow,4
🧘,calm,#95E0E0,"149,224,224",earthy,1
💖,love,#FF7FBF,"255,127,191",cold,5
📝,thinking,#9CA1AA,"156,161,170",playful,4
😯,surprise,#FFEB6E,"255,235,110",deep,5
🔍,thinking,#D1D4DD,"209,212,221",serious,3
😌,calm,#95E0E0,"149,224,224",serious,3
🌌,sleepy,#8A84C8,"138,132,200",bright,4
💎,calm,#7BCFCF,"123,207,207",deep,3
😭,sadness,#7BA7D9,"123,167,217",bright,4
🙂,joy,#FFDF57,"255,223,87",deep,3
😠,anger,#D60000,"214,0,0",serious,1
🕷️,fear,#B7C8FF,"183,200,255",playful,4
💢,anger,#D60000,"214,0,0",deep,1
😤,anger,#D60000,"214,0,0",warm,3
🌿,calm,#7BCFCF,"123,207,207",clean,1
😆,joy,#FFD438,"255,212,56",cold,2
😴,sleepy,#A59ED9,"165,158,217",deep,2
✏️,thinking,#D1D4DD,"209,212,221",mellow,5
🌌,sleepy,#7C74B8,"124,116,184",serious,4
🫲,sleepy,#A59ED9,"165,158,217",clean,3
🙂,joy,#FFC94D,"255,201,77",serious,4
😔,sadness,#7BA7D9,"123,167,217",warm,2
🛌,sleepy,#A59ED9,"165,158,217",cold,2
🤔,thinking,#9CA1AA,"156,161,170",deep,2
🤬,anger,#FF3D3D,"255,61,61",deep,4
😖,disgust,#4A7D2D,"74,125,45",bright,1
😖,disgust,#4A7D2D,"74,125,45",serious,2
🌊,calm,#A5E6E6,"165,230,230",bright,5
✨,surprise,#FFF4B0,"255,244,176",serious,3
🙂,joy,#FFD438,"255,212,56",warm,4
🥰,love,#FF7FBF,"255,127,191",playful,2
🦇,fear,#B7C8FF,"183,200,255",warm,5
😞,sadness,#5F84B8,"95,132,184",cold,2
💞,love,#FF5C9A,"255,92,154",bright,3
✏️,thinking,#9CA1AA,"156,161,170",earthy,5
🌙,sleepy,#7C74B8,"124,116,184",clean,3
😍,love,#FF6DAA,"255,109,170",mellow,1
🫣,disgust,#A8D27A,"168,210,122",deep,3
😍,love,#FF6DAA,"255,109,170",bright,1
👿,anger,#E12B2B,"225,43,43",mellow,3
😄,joy,#FFC94D,"255,201,77",bright,5
🪹,sleepy,#8A84C8,"138,132,200",deep,4
🌌,sleepy,#7C74B8,"124,116,184",clean,2
🕷️,fear,#B7C8FF,"183,200,255",serious,5
🫶,calm,#C9F4F4,"201,244,244",clean,3
🫲,sleepy,#8A84C8,"138,132,200",warm,3
💎,calm,#95E0E0,"149,224,224",clean,5
🥱,sleepy,#8A84C8,"138,132,200",earthy,1
💘,love,#FF5C9A,"255,92,154",cold,3
💎,calm,#7BCFCF,"123,207,207",earthy,1
😰,fear,#B7C8FF,"183,200,255",bright,3
😺,joy,#FFD438,"255,212,56",serious,1
😴,sleepy,#7C74B8,"124,116,184",clean,5
🌿,calm,#7BCFCF,"123,207,207",earthy,2
💗,love,#FF6DAA,"255,109,170",playful,3
🤯,surprise,#FFFACD,"255,250,205",soft,5
😮,surprise,#FFFACD,"255,250,205",warm,5
🌙,sleepy,#7C74B8,"124,116,184",playful,3
✏️,thinking,#9CA1AA,"156,161,170",mellow,3
🕸️,fear,#B7C8FF,"183,200,255",bright,2
😀,joy,#FFD438,"255,212,56",soft,2
🧟,fear,#C3C9FF,"195,201,255",soft,2
✏️,thinking,#B7BBC3,"183,187,195",warm,1
😃,joy,#FFDF57,"255,223,87",earthy,4
🗯️,anger,#D60000,"214,0,0",warm,4
🦇,fear,#7DA7FF,"125,167,255",warm,3
🥱,sleepy,#7C74B8,"124,116,184",playful,3
😿,sadness,#A3C4E9,"163,196,233",warm,4
😮,surprise,#FFF4B0,"255,244,176",soft,1
🕸️,fear,#9BB5FF,"155,181,255",cold,5
😨,fear,#C3C9FF,"195,201,255",deep,4
💕,love,#FF6DAA,"255,109,170",cold,1
💓,love,#FF6DAA,"255,109,170",warm,2
💖,love,#FF4F88,"255,79,136",earthy,4
✨,surprise,#FFF48A,"255,244,138",clean,1
🤮,disgust,#4A7D2D,"74,125,45",deep,4
🕷️,fear,#B7C8FF,"183,200,255",earthy,5
😰,fear,#C3C9FF,"195,201,255",warm,1
👿,anger,#E12B2B,"225,43,43",cold,3
😆,joy,#FFC94D,"255,201,77",playful,3
🦠,disgust,#A8D27A,"168,210,122",playful,5
😿,sadness,#5F84B8,"95,132,184",cold,4
😭,sadness,#4A6FA5,"74,111,165",mellow,5
🌊,calm,#A5E6E6,"165,230,230",cold,1
👻,fear,#C3C9FF,"195,201,255",cold,4
🛌,sleepy,#A59ED9,"165,158,217",soft,5
🎐,calm,#A5E6E6,"165,230,230",bright,4
👿,anger,#D60000,"214,0,0",warm,1
😮,surprise,#FFF4B0,"255,244,176",clean,5
🧟,fear,#9BB5FF,"155,181,255",deep,1
🌊,calm,#C9F4F4,"201,244,244",earthy,3
🎐,calm,#A5E6E6,"165,230,230",clean,2
👓,thinking,#9CA1AA,"156,161,170",earthy,1
😾,anger,#B80000,"184,0,0",warm,4
😱,fear,#7DA7FF,"125,167,255",warm,5
📘,thinking,#B7BBC3,"183,187,195",warm,4
💡,thinking,#B7BBC3,"183,187,195",warm,2
🧘,calm,#95E0E0,"149,224,224",bright,4
😁,joy,#FFC94D,"255,201,77",cold,2
🕸️,fear,#C3C9FF,"195,201,255",serious,4
😖,disgust,#89B44C,"137,180,76",warm,3
🤮,disgust,#A8D27A,"168,210,122",cold,4
☠️,fear,#C3C9FF,"195,201,255",mellow,5
💘,love,#FF7FBF,"255,127,191",cold,5
😳,surprise,#FFEB6E,"255,235,110",bright,1
💤,sleepy,#A59ED9,"165,158,217",serious,2
🫶,calm,#C9F4F4,"201,244,244",bright,2
❤️,love,#FF7FBF,"255,127,191",bright,5
🔍,thinking,#9CA1AA,"156,161,170",warm,4
😳,surprise,#FFF4B0,"255,244,176",mellow,3
😡,anger,#FF3D3D,"255,61,61",bright,5
😰,fear,#C3C9FF,"195,201,255",deep,2
🪹,sleepy,#8A84C8,"138,132,200",earthy,4
🪹,sleepy,#6B62A6,"107,98,166",cold,3
😿,sadness,#A3C4E9,"163,196,233",cold,1
✏️,thinking,#D1D4DD,"209,212,221",cold,2
🎐,calm,#C9F4F4,"201,244,244",bright,2
🤍,calm,#95E0E0,"149,224,224",playful,2
📘,thinking,#C8C8D4,"200,200,212",deep,3
🧘,calm,#7BCFCF,"123,207,207",soft,5
🧟,fear,#B7C8FF,"183,200,255",earthy,3
🤢,disgust,#6A8F27,"106,143,39",deep,5
😮,surprise,#FFF4B0,"255,244,176",bright,1
🤧,disgust,#6A8F27,"106,143,39",soft,1
🥱,sleepy,#A59ED9,"165,158,217",deep,2
😖,disgust,#4A7D2D,"74,125,45",bright,2
🤔,thinking,#C8C8D4,"200,200,212",clean,1
💫,surprise,#FFF4B0,"255,244,176",mellow,3
😨,fear,#C3C9FF,"195,201,255",soft,2
🦇,fear,#B7C8FF,"183,200,255",soft,2
😤,anger,#E12B2B,"225,43,43",earthy,2
😯,surprise,#FFF48A,"255,244,138",clean,1
🤮,disgust,#6A8F27,"106,143,39",playful,4
🔥,anger,#B80000,"184,0,0",playful,1
👻,fear,#9BB5FF,"155,181,255",clean,2
💧,sadness,#A3C4E9,"163,196,233",cold,3
💢,anger,#D60000,"214,0,0",bright,5
🥱,sleepy,#6B62A6,"107,98,166",bright,5
🪰,disgust,#A8D27A,"168,210,122",clean,3
🗯️,anger,#D60000,"214,0,0",cold,1
🪣,sadness,#4A6FA5,"74,111,165",soft,5
🤮,disgust,#89B44C,"137,180,76",clean,2
🤮,disgust,#4A7D2D,"74,125,45",bright,5
😀,joy,#FFD438,"255,212,56",soft,1
👓,thinking,#B7BBC3,"183,187,195",warm,1
😍,love,#FF7FBF,"255,127,191",soft,2
💖,love,#FF7FBF,"255,127,191",warm,1
🧘,calm,#7BCFCF,"123,207,207",serious,2
🔍,thinking,#9CA1AA,"156,161,170",cold,1
😍,love,#FF6DAA,"255,109,170",serious,1
🫶,calm,#7BCFCF,"123,207,207",mellow,5
😢,sadness,#4A6FA5,"74,111,165",warm,1
🧟,fear,#C3C9FF,"195,201,255",clean,5
😳,surprise,#FFF4B0,"255,244,176",playful,5
💭,thinking,#9CA1AA,"156,161,170",warm,1
🕷️,fear,#C3C9FF,"195,201,255",deep,3
🕸️,fear,#7DA7FF,"125,167,255",serious,5
🤔,thinking,#9CA1AA,"156,161,170",deep,5
🌙,sleepy,#A59ED9,"165,158,217",soft,1
🥰,love,#FF6DAA,"255,109,170",playful,5
😊,joy,#FFD438,"255,212,56",cold,2
🛏️,sleepy,#6B62A6,"107,98,166",bright,3
🕷️,fear,#9BB5FF,"155,181,255",cold,4
🦇,fear,#9BB5FF,"155,181,255",serious,3
🤔,thinking,#C8C8D4,"200,200,212",clean,2
😳,surprise,#FFF4B0,"255,244,176",serious,1
🧠,thinking,#D1D4DD,"209,212,221",deep,4
😴,sleepy,#7C74B8,"124,116,184",serious,2
💭,thinking,#9CA1AA,"156,161,170",bright,2
🤔,thinking,#9CA1AA,"156,161,170",bright,5
🪣,sadness,#5F84B8,"95,132,184",mellow,1
🛏️,sleepy,#6B62A6,"107,98,166",clean,2
🧟,fear,#B7C8FF,"183,200,255",serious,3
😲,surprise,#FFEB6E,"255,235,110",mellow,2
🟥,anger,#D60000,"214,0,0",soft,5
😲,surprise,#FFEB6E,"255,235,110",earthy,5
😄,joy,#FFC94D,"255,201,77",mellow,3
🌊,calm,#A5E6E6,"165,230,230",deep,2
☠️,fear,#7DA7FF,"125,167,255",mellow,2
😌,calm,#C9F4F4,"201,244,244",serious,5
😨,fear,#C3C9FF,"195,201,255",earthy,3
🧟,fear,#C3C9FF,"195,201,255",clean,2
📝,thinking,#B7BBC3,"183,187,195",soft,2
😞,sadness,#4A6FA5,"74,111,165",soft,1
😲,surprise,#FFF48A,"255,244,138",cold,5
🤔,thinking,#C8C8D4,"200,200,212",mellow,1
😌,calm,#C9F4F4,"201,244,244",earthy,1
🕷️,fear,#C3C9FF,"195,201,255",warm,5
😥,sadness,#7BA7D9,"123,167,217",mellow,5
👻,fear,#C3C9FF,"195,201,255",serious,1
💤,calm,#C9F4F4,"201,244,244",clean,4
👿,anger,#E12B2B,"225,43,43",playful,2
😌,calm,#7BCFCF,"123,207,207",playful,5
🌙,sleepy,#A59ED9,"165,158,217",playful,4
🫣,disgust,#89B44C,"137,180,76",earthy,2
🌙,sleepy,#7C74B8,"124,116,184",deep,5
😆,joy,#FFC94D,"255,201,77",clean,3
🔥,anger,#E12B2B,"225,43,43",cold,4
🤯,surprise,#FFF48A,"255,244,138",soft,2
😱,fear,#7DA7FF,"125,167,255",clean,2
👓,thinking,#D1D4DD,"209,212,221",earthy,5
🪐,sleepy,#8A84C8,"138,132,200",soft,5
🫣,disgust,#89B44C,"137,180,76",playful,5
😌,calm,#C9F4F4,"201,244,244",earthy,1
🤮,disgust,#4A7D2D,"74,125,45",bright,2
💘,love,#FF5C9A,"255,92,154",mellow,4
😥,sadness,#7BA7D9,"123,167,217",earthy,1
🪹,sleepy,#8A84C8,"138,132,200",clean,2
🕸️,fear,#9BB5FF,"155,181,255",soft,1
🟥,anger,#E12B2B,"225,43,43",earthy,1
🤧,disgust,#A8D27A,"168,210,122",bright,1
😡,anger,#D60000,"214,0,0",serious,4
🌊,calm,#95E0E0,"149,224,224",earthy,5
🟥,anger,#B80000,"184,0,0",deep,1
💫,surprise,#FFF4B0,"255,244,176",warm,3
💡,thinking,#C8C8D4,"200,200,212",deep,5
🤯,surprise,#FFEB6E,"255,235,110",warm,4
🥰,love,#FF4F88,"255,79,136",soft,1
✨,surprise,#FFFACD,"255,250,205",warm,1
🦠,disgust,#89B44C,"137,180,76",cold,5
💕,love,#FF5C9A,"255,92,154",soft,2
😊,joy,#FFCC00,"255,204,0",warm,3
🪹,sleepy,#6B62A6,"107,98,166",earthy,1
⚡,surprise,#FFFACD,"255,250,205",serious,3
😳,surprise,#FFF48A,"255,244,138",deep,4
🫶,calm,#95E0E0,"149,224,224",clean,4
💖,love,#FF4F88,"255,79,136",cold,3
💢,anger,#B80000,"184,0,0",soft,2
🗯️,anger,#E12B2B,"225,43,43",mellow,5
🤧,disgust,#89B44C,"137,180,76",deep,2
😮,surprise,#FFEB6E,"255,235,110",serious,2
😄,joy,#FFDF57,"255,223,87",deep,2
🌿,calm,#95E0E0,"149,224,224",warm,3
🦟,disgust,#89B44C,"137,180,76",clean,2
💫,surprise,#FFF4B0,"255,244,176",playful,4
🥺,sadness,#A3C4E9,"163,196,233",playful,4
🦠,disgust,#A8D27A,"168,210,122",warm,3
👓,thinking,#D1D4DD,"209,212,221",soft,2
😲,surprise,#FFEB6E,"255,235,110",mellow,1
😃,joy,#FFCC00,"255,204,0",warm,2
😤,anger,#D60000,"214,0,0",mellow,5
😍,love,#FF5C9A,"255,92,154",serious,4
🥳,joy,#FFD438,"255,212,56",playful,1
☠️,fear,#B7C8FF,"183,200,255",earthy,1
🥰,love,#FF6DAA,"255,109,170",soft,5
👓,thinking,#D1D4DD,"209,212,221",serious,4
📢,surprise,#FFEB6E,"255,235,110",soft,1
💕,love,#FF5C9A,"255,92,154",playful,2
📘,thinking,#9CA1AA,"156,161,170",mellow,2
💡,thinking,#9CA1AA,"156,161,170",deep,4
💢,anger,#B80000,"184,0,0",earthy,5
📢,surprise,#FFF4B0,"255,244,176",soft,3
🪣,sadness,#4A6FA5,"74,111,165",soft,5
💡,thinking,#D1D4DD,"209,212,221",soft,3
🦠,disgust,#89B44C,"137,180,76",clean,3
😢,sadness,#7BA7D9,"123,167,217",cold,1
❤️,love,#FF7FBF,"255,127,191",playful,5
💎,calm,#95E0E0,"149,224,224",mellow,3
💞,love,#FF7FBF,"255,127,191",deep,3
☠️,fear,#7DA7FF,"125,167,255",warm,1
😤,anger,#B80000,"184,0,0",earthy,1
😊,joy,#FFCC00,"255,204,0",playful,1
🙂,joy,#FFDF57,"255,223,87",serious,5
🫣,disgust,#4A7D2D,"74,125,45",warm,3
💖,love,#FF7FBF,"255,127,191",cold,2
☁️,calm,#C9F4F4,"201,244,244",cold,4
🗯️,anger,#D60000,"214,0,0",mellow,3
😌,calm,#A5E6E6,"165,230,230",mellow,5
🛏️,sleepy,#7C74B8,"124,116,184",warm,3
🧟,fear,#C3C9FF,"195,201,255",bright,1
🫲,sleepy,#7C74B8,"124,116,184",soft,1
☠️,fear,#C3C9FF,"195,201,255",deep,1
😘,love,#FF6DAA,"255,109,170",soft,5
🎉,surprise,#FFF48A,"255,244,138",serious,4
📚,thinking,#D1D4DD,"209,212,221",deep,4
😳,surprise,#FFF4B0,"255,244,176",bright,5
🤮,disgust,#89B44C,"137,180,76",cold,4
🎐,calm,#95E0E0,"149,224,224",deep,4
😁,joy,#FFDF57,"255,223,87",clean,1
🍂,disgust,#89B44C,"137,180,76",cold,4
🍂,disgust,#A8D27A,"168,210,122",cold,5
🕷️,fear,#B7C8FF,"183,200,255",deep,5
🪦,fear,#7DA7FF,"125,167,255",earthy,1
🛌,sleepy,#A59ED9,"165,158,217",earthy,2
😮,surprise,#FFF48A,"255,244,138",earthy,1
🤯,surprise,#FFFACD,"255,250,205",warm,5
🟥,anger,#FF3D3D,"255,61,61",playful,5
🪰,disgust,#4A7D2D,"74,125,45",bright,5
🤬,anger,#E12B2B,"225,43,43",earthy,2
⚡,surprise,#FFFACD,"255,250,205",soft,4
🕸️,fear,#C3C9FF,"195,201,255",serious,2
😄,joy,#FFCC00,"255,204,0",deep,1
😠,anger,#FF3D3D,"255,61,61",soft,5
🫶,calm,#A5E6E6,"165,230,230",playful,1
😮,surprise,#FFF4B0,"255,244,176",bright,1
💞,love,#FF7FBF,"255,127,191",mellow,4
🧟,fear,#B7C8FF,"183,200,255",serious,3
💫,surprise,#FFF4B0,"255,244,176",earthy,5
🥰,love,#FF7FBF,"255,127,191",mellow,5
😭,sadness,#5F84B8,"95,132,184",playful,5
🕷️,fear,#C3C9FF,"195,201,255",serious,4
😡,anger,#FF3D3D,"255,61,61",deep,3
🌿,calm,#A5E6E6,"165,230,230",warm,3
🔍,thinking,#9CA1AA,"156,161,170",deep,3
🫶,calm,#C9F4F4,"201,244,244",mellow,2
🛏️,sleepy,#A59ED9,"165,158,217",cold,5
💡,thinking,#D1D4DD,"209,212,221",cold,5
😮,surprise,#FFFACD,"255,250,205",soft,3
😳,surprise,#FFF48A,"255,244,138",serious,5
😮,surprise,#FFFACD,"255,250,205",warm,3
💧,sadness,#5F84B8,"95,132,184",earthy,1
😳,surprise,#FFF48A,"255,244,138",warm,2
🌿,calm,#7BCFCF,"123,207,207",deep,4
🎐,calm,#7BCFCF,"123,207,207",earthy,4
😮,surprise,#FFF48A,"255,244,138",bright,2
😫,sadness,#4A6FA5,"74,111,165",cold,2
🌿,calm,#A5E6E6,"165,230,230",serious,3
💡,thinking,#B7BBC3,"183,187,195",warm,3
🤬,anger,#D60000,"214,0,0",earthy,1
💤,calm,#C9F4F4,"201,244,244",bright,5
😁,joy,#FFCC00,"255,204,0",warm,5
💡,thinking,#B7BBC3,"183,187,195",soft,5
🛏️,sleepy,#A59ED9,"165,158,217",playful,5
🍂,disgust,#A8D27A,"168,210,122",mellow,4
🗯️,anger,#FF3D3D,"255,61,61",warm,5
💭,thinking,#C8C8D4,"200,200,212",soft,2
😥,sadness,#7BA7D9,"123,167,217",mellow,1
🥱,sleepy,#6B62A6,"107,98,166",warm,5
😘,love,#FF4F88,"255,79,136",cold,1
😳,surprise,#FFFACD,"255,250,205",earthy,3
💫,surprise,#FFF48A,"255,244,138",cold,4
😮,surprise,#FFF48A,"255,244,138",earthy,5
👻,fear,#9BB5FF,"155,181,255",mellow,4
💓,love,#FF7FBF,"255,127,191",earthy,1
🛌,sleepy,#8A84C8,"138,132,200",bright,5
🌿,calm,#A5E6E6,"165,230,230",mellow,3
🌙,sleepy,#8A84C8,"138,132,200",playful,2
😱,fear,#B7C8FF,"183,200,255",clean,1
🛏️,sleepy,#A59ED9,"165,158,217",playful,3
😾,anger,#D60000,"214,0,0",earthy,1
🎉,surprise,#FFF48A,"255,244,138",playful,3
😀,joy,#FFC94D,"255,201,77",serious,2
🫠,disgust,#A8D27A,"168,210,122",playful,3
📝,thinking,#C8C8D4,"200,200,212",deep,3
💧,sadness,#4A6FA5,"74,111,165",mellow,2
💗,love,#FF6DAA,"255,109,170",earthy,5
😲,surprise,#FFEB6E,"255,235,110",cold,3
👿,anger,#B80000,"184,0,0",mellow,1
🤔,thinking,#D1D4DD,"209,212,221",serious,5
🎉,surprise,#FFEB6E,"255,235,110",cold,1
😰,fear,#7DA7FF,"125,167,255",clean,5
🛏️,sleepy,#7C74B8,"124,116,184",cold,3
💓,love,#FF7FBF,"255,127,191",clean,4
🧘,calm,#7BCFCF,"123,207,207",mellow,4
💧,sadness,#A3C4E9,"163,196,233",playful,5
⚡,surprise,#FFEB6E,"255,235,110",soft,4
😱,fear,#7DA7FF,"125,167,255",playful,3
🤯,surprise,#FFEB6E,"255,235,110",playful,1
💕,love,#FF6DAA,"255,109,170",mellow,1
😿,sadness,#7BA7D9,"123,167,217",earthy,5
🔥,anger,#E12B2B,"225,43,43",warm,1
😘,love,#FF4F88,"255,79,136",serious,3
😊,joy,#FFCC00,"255,204,0",deep,1
🥳,joy,#FFC94D,"255,201,77",mellow,3
📘,thinking,#B7BBC3,"183,187,195",earthy,1
🕷️,fear,#C3C9FF,"195,201,255",playful,2
🎐,calm,#7BCFCF,"123,207,207",serious,3
🪹,sleepy,#7C74B8,"124,116,184",deep,5
🪦,fear,#9BB5FF,"155,181,255",playful,4
🥳,joy,#FFDF57,"255,223,87",serious,4
🟥,anger,#FF3D3D,"255,61,61",deep,4
🤧,disgust,#4A7D2D,"74,125,45",playful,3
😖,disgust,#89B44C,"137,180,76",earthy,3
🤧,disgust,#4A7D2D,"74,125,45",serious,5
🤮,disgust,#89B44C,"137,180,76",deep,5
💤,sleepy,#8A84C8,"138,132,200",playful,3
💭,thinking,#C8C8D4,"200,200,212",soft,3
📢,surprise,#FFEB6E,"255,235,110",bright,2
🌙,sleepy,#A59ED9,"165,158,217",soft,3
💗,love,#FF4F88,"255,79,136",playful,1
🧘,calm,#C9F4F4,"201,244,244",mellow,4
