Name,ColorGroup,Hex,R,G,B
warm clover,red,#FF7373,255,115,115
bold ash,red,#DD96B4,221,150,180
foggy ash,green,#6D8C30,109,140,48
frosted forest,green,#5CFBC8,92,251,200
dark snow,blue,#1330D6,19,48,214
pale slate,green,#75BA41,117,186,65
earthy spinach,red,#C60211,198,2,17
faded weed,red,#FB3790,251,55,144
earthy grass,red,#CA4CBA,202,76,186
dense snow,green,#B3BEA1,179,190,161
warm weed,red,#A57A57,165,122,87
foggy garlic,red,#FE2A99,254,42,153
soft blood,red,#FD7F1A,253,127,26
dusty mustard,green,#CFE49B,207,228,155
deep coal,blue,#1AABCC,26,171,204
soft coal,green,#B8C8B4,184,200,180
smooth cauliflower,green,#88F8BE,136,248,190
smooth tin,red,#CF2D3A,207,45,58
cool coal,blue,#A60FE9,166,15,233
ripe cauliflower,green,#0DF905,13,249,5
misty cloud,red,#EB0FDC,235,15,220
shaded elephant,red,#F0EB68,240,235,104
warm froth,blue,#A24DF5,162,77,245
smooth coffee,green,#3BE255,59,226,85
soft cloud,blue,#2049CA,32,73,202
smooth dolphin,green,#9ABFAC,154,191,172
frosted gold,red,#373631,55,54,49
earthy blood,green,#126126,18,97,38
rich corn,blue,#7118DF,113,24,223
shaded mustard,green,#439B9B,67,155,155
dark beaver,green,#15AD0A,21,173,10
shaded violin,red,#AB1770,171,23,112
matte cardboard,blue,#E63BF1,230,59,241
bright coffee,green,#85CEBA,133,206,186
cool banana,green,#D3F622,211,246,34
warm shadow,red,#9C0B86,156,11,134
frosted coal,red,#D77A0A,215,122,10
cool cauliflower,red,#BEA930,190,169,48
cool wood,green,#8BCA11,139,202,17
bright cotton,red,#CF9C07,207,156,7
glowing sky,blue,#87D1F0,135,209,240
muted tin,green,#51CC98,81,204,152
soft soil,red,#EC2B0B,236,43,11
matte gorilla,green,#719B7D,113,155,125
bold cotton,green,#62B857,98,184,87
bold blood,blue,#170061,23,0,97
smooth strawberry,green,#2AD770,42,215,112
cool mud,red,#895E30,137,94,48
raw spinach,blue,#620967,98,9,103
faded clover,blue,#2B8090,43,128,144
bold banana,red,#E7460C,231,70,12
muted flour,red,#F65E41,246,94,65
vivid shadow,blue,#630CAB,99,12,171
glowing sea,green,#12FF2A,18,255,42
soft shadow,red,#999817,153,152,23
ripe gold,red,#B06304,176,99,4
earthy tin,green,#2DCC4B,45,204,75
bold coffee,green,#15A07E,21,160,126
frosted garlic,green,#59EE98,89,238,152
rich gold,green,#9FC4C4,159,196,196
cool shadow,green,#9AC171,154,193,113
muted mustard,red,#F806EC,248,6,236
shiny foam,green,#E5E64D,229,230,77
faded gold,blue,#0C8EE9,12,142,233
deep soil,blue,#6B1CC7,107,28,199
pale cardboard,blue,#BF35EE,191,53,238
ripe tin,red,#D34331,211,67,49
fresh beaver,green,#AFD9A2,175,217,162
shiny clover,red,#B4988B,180,152,139
dusty corn,red,#EE4F3D,238,79,61
muted cherry,red,#EDEAB0,237,234,176
raw vinyl,red,#EA47AC,234,71,172
shiny mustard,red,#C8AE6D,200,174,109
glowing vinyl,green,#0DC966,13,201,102
cool slate,red,#EA9D2C,234,157,44
soft cauliflower,blue,#0A4497,10,68,151
glowing coal,blue,#CD2FD2,205,47,210
ripe elephant,blue,#6413DB,100,19,219
rich cardboard,red,#BC2EAE,188,46,174
faded clover,green,#6DB083,109,176,131
dark beaver,blue,#5B00F5,91,0,245
faded soil,red,#FC7BAD,252,123,173
faded foam,red,#70163B,112,22,59
bold fog,green,#0B2C0A,11,44,10
cool forest,blue,#5CA5B6,92,165,182
foggy wood,blue,#ADCFDB,173,207,219
faded cockroach,red,#F05D2B,240,93,43
earthy dolphin,blue,#9E7AE6,158,122,230
dusty gorilla,blue,#D577F9,213,119,249
misty spinach,blue,#9A19C6,154,25,198
fresh violin,blue,#9889C8,152,137,200
bold strawberry,red,#C18E88,193,142,136
soft mustard,red,#471F07,71,31,7
pale parsley,green,#579468,87,148,104
dark gold,blue,#2E2273,46,34,115
earthy cauliflower,blue,#AB5AC3,171,90,195
soft cauliflower,green,#C0F482,192,244,130
faded foam,blue,#2FAECC,47,174,204
fresh cherry,green,#6FD65A,111,214,90
ripe pig,blue,#1877AD,24,119,173
smooth tin,green,#1DC7AA,29,199,170
frosted gold,green,#81BBBB,129,187,187
bold slate,green,#34F124,52,241,36
shaded corn,green,#78D0C9,120,208,201
dusty clover,green,#A7B805,167,184,5
dusty dolphin,red,#42112A,66,17,42
faded grass,green,#9BDDC8,155,221,200
glowing tin,blue,#5DA7C7,93,167,199
misty deer,red,#9A923A,154,146,58
glowing beaver,red,#FEC412,254,196,18
shiny silhouette,blue,#4105A3,65,5,163
rich soil,green,#001811,0,24,17
foggy cockroach,green,#E7FEFB,231,254,251
misty pig,red,#E3983C,227,152,60
raw wood,blue,#2A17FE,42,23,254
rich dolphin,green,#6ADAC3,106,218,195
ripe fog,red,#9B654E,155,101,78
matte froth,green,#51EF52,81,239,82
raw wood,red,#D1ADAE,209,173,174
rich ash,blue,#4511F6,69,17,246
earthy spinach,red,#E989B3,233,137,179
foggy cloud,red,#F99262,249,146,98
fresh mud,blue,#145273,20,82,115
soft swan,blue,#BFA2CE,191,162,206
smooth slate,blue,#5401B1,84,1,177
faded slate,blue,#2AC5E0,42,197,224
shiny salad,green,#A0EC81,160,236,129
dusty vinyl,red,#6F5C07,111,92,7
dark clover,red,#AC4734,172,71,52
raw grass,blue,#0098F8,0,152,248
rich pig,blue,#3F17EE,63,23,238
ripe sea,red,#431B14,67,27,20
rich mustard,red,#F4B13F,244,177,63
dusty violin,red,#994C12,153,76,18
vivid vinyl,red,#DB6363,219,99,99
rich shadow,blue,#157FAE,21,127,174
rich gorilla,blue,#86A0CE,134,160,206
foggy clover,blue,#BDB6D7,189,182,215
shiny parsley,green,#13B986,19,185,134
soft blood,red,#E80ED2,232,14,210
faded lettuce,green,#39A813,57,168,19
dusty coal,green,#ACF305,172,243,5
dense strawberry,red,#7A4068,122,64,104
cool soil,red,#B08F0D,176,143,13
smooth elephant,green,#059610,5,150,16
dense strawberry,red,#CE76AB,206,118,171
earthy blood,red,#8E3A2C,142,58,44
dusty chalk,blue,#899A9C,137,154,156
earthy soil,blue,#6C39D5,108,57,213
dense cauliflower,blue,#621B7F,98,27,127
rich spinach,red,#F45681,244,86,129
bold cello,green,#027370,2,115,112
soft pig,red,#F56B7D,245,107,125
foggy cherry,red,#F0AF45,240,175,69
foggy cauliflower,blue,#81ECFB,129,236,251
smooth beaver,green,#2EBE7C,46,190,124
pale parsley,blue,#9310BB,147,16,187
soft slate,red,#B28300,178,131,0
frosted cello,red,#190D08,25,13,8
frosted cockroach,green,#44DC5C,68,220,92
warm soil,blue,#9819BF,152,25,191
matte dolphin,green,#93EAC1,147,234,193
earthy cherry,blue,#360FC6,54,15,198
deep gorilla,blue,#94DFF9,148,223,249
fresh spinach,red,#C28E2D,194,142,45
dense cherry,red,#776D35,119,109,53
dusty salad,red,#F1CF45,241,207,69
raw banana,red,#998E5A,153,142,90
cool cauliflower,blue,#387199,56,113,153
dense garlic,red,#FDF2E3,253,242,227
soft foam,red,#381C22,56,28,34
bold strawberry,blue,#0A313C,10,49,60
matte froth,blue,#1840E7,24,64,231
pale weed,blue,#894FBB,137,79,187
earthy flour,blue,#35425A,53,66,90
muted elephant,green,#8FC18B,143,193,139
glowing soil,red,#B45983,180,89,131
misty ash,green,#05FC4F,5,252,79
muted shadow,red,#C96B0D,201,107,13
matte snow,red,#F13907,241,57,7
pale salad,red,#ABAA42,171,170,66
deep strawberry,green,#84F2D9,132,242,217
dusty gorilla,red,#C83F52,200,63,82
bold cloud,red,#DD495C,221,73,92
deep clover,green,#2ADB34,42,219,52
dense gold,blue,#2F7AB3,47,122,179
matte sky,green,#D9F053,217,240,83
shiny froth,red,#B779B0,183,121,176
bright mustard,red,#DF7674,223,118,116
muted elephant,blue,#AD97CF,173,151,207
muted banana,green,#407748,64,119,72
matte swan,green,#646F36,100,111,54
faded sky,blue,#5D17A0,93,23,160
dark wood,green,#50883C,80,136,60
misty mustard,green,#15AB46,21,171,70
shiny silhouette,green,#6DF9F4,109,249,244
pale froth,blue,#1807F9,24,7,249
dark wood,blue,#8E3890,142,56,144
misty ash,green,#7A7B0D,122,123,13
muted lettuce,red,#B5510B,181,81,11
frosted sky,red,#C7266F,199,38,111
dark wood,blue,#209FC9,32,159,201
pale sky,red,#B19081,177,144,129
muted salad,blue,#B621E5,182,33,229
soft forest,red,#EA3460,234,52,96
misty beaver,green,#5DF92B,93,249,43
bright coffee,blue,#122042,18,32,66
bright cotton,red,#75354D,117,53,77
cool deer,green,#BDF59E,189,245,158
deep carrot,green,#05B35F,5,179,95
frosted cherry,red,#9E1F2D,158,31,45
glowing shadow,blue,#058AAA,5,138,170
soft corn,green,#2B9981,43,153,129
bold cauliflower,green,#378E18,55,142,24
smooth corn,blue,#7F99F7,127,153,247
cool mustard,blue,#1386D5,19,134,213
dark corn,red,#F38820,243,136,32
smooth cello,green,#70950E,112,149,14
foggy broccoli,green,#83F11E,131,241,30
shiny gorilla,green,#4A9353,74,147,83
bold grass,red,#3C0026,60,0,38
muted froth,red,#DFC018,223,192,24
pale gold,blue,#0A2CE4,10,44,228
dusty tin,blue,#623681,98,54,129
soft banana,blue,#4E0D7E,78,13,126
frosted shadow,blue,#08B6D7,8,182,215
matte violin,green,#03F0DD,3,240,221
frosted vinyl,blue,#5A8ACF,90,138,207
matte garlic,green,#E2EA68,226,234,104
shiny flour,green,#87EE9D,135,238,157
muted vinyl,red,#DDC4D8,221,196,216
warm carrot,blue,#EE66F3,238,102,243
dusty tin,green,#CACD89,202,205,137
raw cloud,green,#2F8258,47,130,88
rich slate,green,#2C8337,44,131,55
shaded silhouette,red,#B900A9,185,0,169
bold clover,blue,#613DDC,97,61,220
soft foam,blue,#5029E2,80,41,226
raw deer,red,#E7C89F,231,200,159
shaded swan,red,#632936,99,41,54
foggy flour,green,#1DF071,29,240,113
shaded cockroach,blue,#A426AE,164,38,174
bright fog,blue,#1B7BB8,27,123,184
deep mud,red,#D995D9,217,149,217
dusty slate,green,#AEEA5B,174,234,91
earthy cherry,red,#A48A6B,164,138,107
misty violin,red,#FB4D76,251,77,118
foggy shadow,blue,#145D5F,20,93,95
matte coffee,blue,#605DF9,96,93,249
muted carrot,red,#F7E7F3,247,231,243
dense cotton,blue,#6C6AF7,108,106,247
cool vinyl,green,#3F8E70,63,142,112
shiny cardboard,green,#3E480E,62,72,14
shiny cotton,blue,#58A1A4,88,161,164
earthy tin,blue,#451D53,69,29,83
deep flour,green,#2BCE27,43,206,39
soft cardboard,red,#D8C606,216,198,6
shiny sea,red,#BBA34A,187,163,74
shiny beaver,blue,#510F9D,81,15,157
faded grass,green,#9ECC8A,158,204,138
dark corn,red,#DE7CB4,222,124,180
raw garlic,blue,#313684,49,54,132
soft salad,blue,#808BAD,128,139,173
earthy slate,blue,#16647F,22,100,127
foggy parsley,red,#F02E99,240,46,153
fresh fog,red,#8C2A47,140,42,71
smooth froth,blue,#8C67E9,140,103,233
pale silhouette,green,#63CE34,99,206,52
dark ash,red,#F91153,249,17,83
deep silhouette,red,#CB554D,203,85,77
misty slate,green,#CDF43A,205,244,58
fresh ash,red,#DDAD8F,221,173,143
shiny beaver,red,#926371,146,99,113
frosted weed,blue,#024EE4,2,78,228
vivid sea,blue,#8F799B,143,121,155
pale spinach,red,#B35406,179,84,6
raw pig,red,#9C8381,156,131,129
earthy froth,blue,#5007BA,80,7,186
cool wood,blue,#92C6CD,146,198,205
foggy cardboard,red,#C10C67,193,12,103
frosted beaver,green,#70D8CA,112,216,202
bold gorilla,green,#10F9B6,16,249,182
warm cauliflower,red,#F79C70,247,156,112
dusty deer,red,#635117,99,81,23
glowing ash,red,#D82ABA,216,42,186
raw foam,red,#B56E86,181,110,134
earthy grass,blue,#1C319A,28,49,154
ripe cherry,blue,#1E4A7E,30,74,126
shiny grass,green,#A3DD4E,163,221,78
faded cloud,red,#A86702,168,103,2
faded coal,red,#927A14,146,122,20
rich fog,red,#F4C0D6,244,192,214
soft flour,red,#D85794,216,87,148
warm mud,green,#B0C565,176,197,101
foggy foam,green,#9CF151,156,241,81
matte cotton,green,#509224,80,146,36
deep fog,blue,#CC43FF,204,67,255
ripe gorilla,blue,#7E23D0,126,35,208
faded spinach,green,#45AF42,69,175,66
muted gorilla,red,#E59E93,229,158,147
bright wood,blue,#69ABBF,105,171,191
dusty snow,blue,#0A063B,10,6,59
dusty sea,red,#903077,144,48,119
muted flour,green,#C4E67F,196,230,127
warm corn,green,#B2FE88,178,254,136
rich fog,red,#921D60,146,29,96
soft silhouette,blue,#430D60,67,13,96
rich coal,blue,#8E94B0,142,148,176
vivid coffee,green,#56E240,86,226,64
dense grass,blue,#5D17C5,93,23,197
ripe crow,green,#5BD394,91,211,148
misty cloud,green,#699F26,105,159,38
shaded ash,blue,#573463,87,52,99
dense shadow,green,#0CEA77,12,234,119
pale sea,green,#66C12D,102,193,45
earthy coffee,blue,#A630DB,166,48,219
dark weed,green,#6AEA52,106,234,82
shaded pig,green,#3AB672,58,182,114
foggy deer,green,#B5DF6C,181,223,108
smooth forest,red,#D1A5A7,209,165,167
bright lettuce,green,#B4CB6E,180,203,110
shaded cello,blue,#7816A5,120,22,165
warm sky,blue,#3CA1E9,60,161,233
matte mud,green,#2E9F53,46,159,83
warm foam,green,#58A89A,88,168,154
muted weed,blue,#E830EB,232,48,235
smooth swan,blue,#543DCA,84,61,202
warm broccoli,red,#EC9E3D,236,158,61
raw shadow,green,#6FD865,111,216,101
warm coal,green,#F5F85D,245,248,93
dense broccoli,red,#E4DC27,228,220,39
shiny blood,red,#BE129C,190,18,156
bold parsley,blue,#4500D4,69,0,212
rich forest,red,#CE2FAC,206,47,172
faded crow,green,#B4C17A,180,193,122
frosted garlic,red,#F7A93F,247,169,63
dense swan,green,#10AB14,16,171,20
shiny blood,red,#6E2A3D,110,42,61
fresh mustard,red,#913064,145,48,100
ripe spinach,red,#7F750D,127,117,13
misty clover,blue,#0A4D84,10,77,132
faded gorilla,red,#EB773C,235,119,60
fresh cotton,green,#8AEC68,138,236,104
bold banana,blue,#B813DA,184,19,218
pale coffee,red,#F13BCB,241,59,203
misty elephant,red,#E61A8B,230,26,139
dark fog,red,#D8D17A,216,209,122
muted ash,blue,#8B4BD0,139,75,208
pale froth,green,#85B636,133,182,54
glowing weed,blue,#6E16D4,110,22,212
dense forest,green,#6A8D42,106,141,66
faded cello,green,#4ADDC7,74,221,199
smooth weed,blue,#1D43AA,29,67,170
soft chalk,blue,#139EFF,19,158,255
frosted coffee,green,#17A33B,23,163,59
muted corn,red,#7E4977,126,73,119
foggy sea,red,#FBEE8E,251,238,142
bold coal,blue,#2843CE,40,67,206
glowing parsley,green,#22F941,34,249,65
dusty cherry,green,#6E9429,110,148,41
earthy fog,green,#3BB681,59,182,129
smooth gold,blue,#20BACA,32,186,202
matte spinach,blue,#9C55D8,156,85,216
warm soil,red,#871934,135,25,52
muted violin,blue,#3D7EE8,61,126,232
dense cardboard,green,#1E9B27,30,155,39
warm broccoli,red,#FC4B6D,252,75,109
ripe chalk,red,#B77310,183,115,16
ripe salad,blue,#BEBAE0,190,186,224
rich cloud,red,#A16283,161,98,131
rich gold,green,#61DE9F,97,222,159
faded pig,green,#4ED15B,78,209,91
dense grass,blue,#088DEA,8,141,234
smooth chalk,blue,#977EDA,151,126,218
shaded dolphin,green,#A7BE39,167,190,57
bold foam,red,#C42589,196,37,137
smooth froth,blue,#C132E0,193,50,224
smooth clover,green,#0B928D,11,146,141
faded pig,blue,#2429BA,36,41,186
bright spinach,blue,#E4D8E6,228,216,230
pale weed,red,#933E48,147,62,72
bold carrot,red,#F31E99,243,30,153
earthy sea,blue,#9B14AD,155,20,173
dense slate,blue,#AFBBF2,175,187,242
raw chalk,green,#76791C,118,121,28
dusty dolphin,green,#53714A,83,113,74
foggy coffee,green,#A2DF77,162,223,119
shiny strawberry,blue,#5178A3,81,120,163
glowing parsley,blue,#C4C7D2,196,199,210
shiny slate,green,#7DA343,125,163,67
fresh dolphin,green,#468430,70,132,48
ripe slate,green,#729C75,114,156,117
bright mud,red,#E11B12,225,27,18
fresh cardboard,blue,#285374,40,83,116
bright corn,green,#7AFCAE,122,252,174
dense tin,green,#C7FFFF,199,255,255
vivid crow,blue,#7E53B9,126,83,185
fresh weed,green,#11BD07,17,189,7
deep forest,green,#275B3F,39,91,63
soft forest,green,#CAF610,202,246,16
pale cardboard,green,#11B06A,17,176,106
glowing elephant,green,#4CC254,76,194,84
rich sky,red,#BC410C,188,65,12
ripe cockroach,red,#F84C68,248,76,104
dark soil,red,#FF2C4C,255,44,76
warm gorilla,blue,#341CDC,52,28,220
rich carrot,green,#AFECD3,175,236,211
glowing grass,red,#66055A,102,5,90
faded lettuce,red,#D70E2F,215,14,47
rich clover,blue,#A3B1D9,163,177,217
earthy tin,red,#DE4647,222,70,71
smooth mud,green,#26BA46,38,186,70
frosted lettuce,green,#3FF18C,63,241,140
rich parsley,red,#F7362F,247,54,47
fresh cardboard,green,#4F5807,79,88,7
deep corn,red,#A36243,163,98,67
dark fog,blue,#765D7F,118,93,127
shaded snow,blue,#A389AA,163,137,170
muted cockroach,red,#FF33F4,255,51,244
soft cloud,blue,#4442CA,68,66,202
matte cello,blue,#9323E1,147,35,225
dusty deer,green,#1BA556,27,165,86
dense forest,red,#C3A29F,195,162,159
ripe forest,blue,#1097BA,16,151,186
glowing shadow,blue,#DAD2FD,218,210,253
bright spinach,blue,#3C8EC4,60,142,196
bold forest,red,#856278,133,98,120
faded garlic,red,#661D1C,102,29,28
dense ash,blue,#4386FD,67,134,253
dusty cello,blue,#725EEC,114,94,236
smooth snow,red,#F577AE,245,119,174
frosted dolphin,blue,#0E048F,14,4,143
deep broccoli,green,#9DF5D0,157,245,208
bold garlic,red,#B009A7,176,9,167
faded garlic,blue,#404B93,64,75,147
shaded corn,blue,#4356EB,67,86,235
pale blood,blue,#00A6F3,0,166,243
smooth tin,blue,#5B11D3,91,17,211
shaded garlic,blue,#8F59BF,143,89,191
glowing mustard,red,#FF1D54,255,29,84
dense carrot,red,#CDBEB3,205,190,179
earthy ash,green,#809502,128,149,2
foggy cloud,blue,#370B72,55,11,114
pale tin,blue,#167EB1,22,126,177
bright sky,blue,#B852DB,184,82,219
shaded cardboard,red,#DCD88A,220,216,138
misty dolphin,blue,#0FB0D1,15,176,209
warm elephant,blue,#396D8A,57,109,138
dark pig,red,#FEB965,254,185,101
bold mustard,green,#D9E74C,217,231,76
frosted cauliflower,green,#435B5A,67,91,90
deep cauliflower,blue,#197A9A,25,122,154
rich parsley,red,#EC91E1,236,145,225
dusty forest,red,#A65583,166,85,131
foggy beaver,blue,#6738F3,103,56,243
fresh swan,red,#9A8E94,154,142,148
matte cardboard,green,#AEAF04,174,175,4
raw lettuce,red,#730330,115,3,48
vivid snow,green,#516A40,81,106,64
muted cloud,blue,#BF70C2,191,112,194
vivid blood,green,#74F547,116,245,71
raw tin,green,#25AD09,37,173,9
shiny cockroach,red,#98194C,152,25,76
warm cauliflower,red,#D0A245,208,162,69
dark cotton,red,#A95700,169,87,0
muted cello,blue,#133031,19,48,49
misty cockroach,blue,#431CEC,67,28,236
muted carrot,blue,#4425C3,68,37,195
bold sea,blue,#7865E4,120,101,228
frosted grass,red,#BA2F09,186,47,9
rich shadow,red,#705959,112,89,89
shaded cello,green,#B0E993,176,233,147
ripe sky,red,#D514B1,213,20,177
misty ash,blue,#5152C9,81,82,201
ripe cello,red,#F0B6A1,240,182,161
shiny gold,blue,#A245AA,162,69,170
fresh sky,red,#C46E11,196,110,17
misty spinach,red,#F5EAAA,245,234,170
muted soil,red,#DEB320,222,179,32
shaded slate,green,#15EC2C,21,236,44
matte deer,red,#FDFD9D,253,253,157
shaded cardboard,blue,#097EC6,9,126,198
glowing pig,green,#E5F33C,229,243,60
pale cardboard,blue,#240282,36,2,130
earthy deer,blue,#A5E2E9,165,226,233
ripe chalk,green,#BAF281,186,242,129
muted ash,green,#19B17B,25,177,123
soft cardboard,blue,#9D09FA,157,9,250
frosted crow,blue,#BB93F1,187,147,241
dark ash,blue,#B76AD7,183,106,215
rich cockroach,red,#D2C664,210,198,100
cool gorilla,blue,#9C83B6,156,131,182
rich pig,blue,#5E7EA3,94,126,163
smooth crow,blue,#7440A3,116,64,163
raw foam,red,#D13F40,209,63,64
vivid sea,blue,#BB2ECB,187,46,203
smooth swan,green,#222D1B,34,45,27
soft blood,red,#B53090,181,48,144
soft sky,red,#79732F,121,115,47
cool snow,blue,#EA42F8,234,66,248
dusty violin,red,#BA8D51,186,141,81
faded weed,blue,#0718DD,7,24,221
dusty crow,blue,#7A74E6,122,116,230
ripe parsley,blue,#832D90,131,45,144
shiny dolphin,green,#59FD6B,89,253,107
cool mustard,blue,#284EB9,40,78,185
bright gold,green,#3D514A,61,81,74
cool violin,green,#29CE37,41,206,55
misty silhouette,green,#AAC528,170,197,40
dusty beaver,green,#A5E904,165,233,4
frosted deer,blue,#6A059A,106,5,154
earthy mud,red,#F913D0,249,19,208
fresh parsley,red,#E84095,232,64,149
frosted cockroach,red,#F3E442,243,228,66
warm broccoli,red,#CD55C1,205,85,193
dark froth,blue,#216793,33,103,147
faded mud,red,#C09547,192,149,71
matte mud,green,#7B865D,123,134,93
vivid lettuce,green,#5DE647,93,230,71
shiny fog,green,#2EAA1A,46,170,26
smooth swan,green,#A3E08D,163,224,141
ripe vinyl,blue,#393962,57,57,98
bright cauliflower,blue,#8F6EAD,143,110,173
dark cello,red,#DD4AB1,221,74,177
earthy coal,red,#C4AF5F,196,175,95
raw slate,green,#20A901,32,169,1
rich vinyl,green,#CEDF31,206,223,49
frosted sky,red,#F83B75,248,59,117
fresh cardboard,red,#F94C78,249,76,120
dark corn,blue,#74B7F1,116,183,241
ripe flour,blue,#931ACC,147,26,204
frosted strawberry,blue,#CEBDCF,206,189,207
rich strawberry,red,#D94608,217,70,8
shaded silhouette,red,#F534E9,245,52,233
vivid broccoli,blue,#851CBD,133,28,189
warm vinyl,blue,#32EAF3,50,234,243
deep swan,blue,#B5B4C3,181,180,195
frosted shadow,blue,#C1CFD7,193,207,215
dense cloud,red,#E45EAE,228,94,174
warm pig,blue,#10356F,16,53,111
earthy chalk,red,#D8D187,216,209,135
smooth forest,red,#E53FB1,229,63,177
muted deer,red,#FDBD49,253,189,73
misty cockroach,red,#55324B,85,50,75
glowing snow,green,#8AA46F,138,164,111
misty forest,green,#B5EF42,181,239,66
dusty elephant,green,#05E614,5,230,20
matte soil,green,#0C9100,12,145,0
ripe ash,blue,#344FD6,52,79,214
raw flour,blue,#2C34CB,44,52,203
pale sky,red,#AF2F66,175,47,102
frosted spinach,blue,#0ECADD,14,202,221
glowing garlic,blue,#312136,49,33,54
matte cauliflower,red,#D05B17,208,91,23
pale mustard,blue,#253385,37,51,133
dark swan,green,#8DE4BE,141,228,190
dusty salad,green,#58AC5A,88,172,90
warm cotton,green,#509931,80,153,49
fresh ash,green,#1CB72B,28,183,43
soft violin,red,#A30235,163,2,53
shiny spinach,red,#FDD596,253,213,150
smooth soil,green,#98E812,152,232,18
earthy cardboard,green,#24BA83,36,186,131
misty pig,red,#FBFA1B,251,250,27
dense froth,green,#06A231,6,162,49
shiny blood,red,#C74253,199,66,83
rich cloud,green,#528C5A,82,140,90
dense broccoli,blue,#CFC4E6,207,196,230
ripe fog,red,#F30A94,243,10,148
bright dolphin,green,#6BAC25,107,172,37
pale crow,blue,#D541F7,213,65,247
misty gorilla,red,#8E7A30,142,122,48
earthy sea,red,#96948A,150,148,138
smooth pig,green,#04A43B,4,164,59
pale garlic,blue,#7CC5E4,124,197,228
dark salad,green,#60EB59,96,235,89
deep garlic,red,#E6B82D,230,184,45
deep cotton,red,#F22550,242,37,80
faded strawberry,blue,#A187D6,161,135,214
faded cauliflower,green,#56E41F,86,228,31
warm banana,red,#C12BA8,193,43,168
dusty swan,blue,#BB08EE,187,8,238
ripe garlic,green,#C1CD02,193,205,2
vivid forest,blue,#256AED,37,106,237
vivid salad,red,#F22C1C,242,44,28
vivid soil,green,#59B66A,89,182,106
raw cardboard,green,#6E9319,110,147,25
frosted strawberry,blue,#4E3A56,78,58,86
muted blood,blue,#7ED4D8,126,212,216
dusty spinach,green,#20B097,32,176,151
fresh silhouette,green,#86B91E,134,185,30
warm wood,green,#0B3010,11,48,16
deep elephant,blue,#2840C8,40,64,200
soft mustard,green,#80FEDC,128,254,220
misty ash,red,#CA7307,202,115,7
foggy spinach,blue,#8D6AE7,141,106,231
glowing spinach,blue,#6B3970,107,57,112
shaded crow,green,#A9FEE6,169,254,230
faded cherry,green,#294A32,41,74,50
deep mustard,green,#3BB938,59,185,56
frosted elephant,green,#B6BE5C,182,190,92
foggy lettuce,green,#2EA574,46,165,116
fresh foam,blue,#3B96CA,59,150,202
faded weed,green,#7ED43E,126,212,62
pale forest,green,#3DF1B6,61,241,182
rich snow,red,#6F422E,111,66,46
shiny cauliflower,blue,#B7E6F7,183,230,247
shiny spinach,green,#9DF08F,157,240,143
dense gold,red,#AC3169,172,49,105
glowing cardboard,blue,#4A4DDD,74,77,221
misty cherry,green,#27FCB5,39,252,181
misty parsley,green,#55584E,85,88,78
frosted shadow,red,#A33192,163,49,146
raw sky,green,#15BB7A,21,187,122
shiny crow,red,#CA92B0,202,146,176
fresh corn,green,#E6F508,230,245,8
ripe salad,green,#90C6BB,144,198,187
smooth spinach,blue,#6D3D7A,109,61,122
shaded spinach,red,#FE2AE0,254,42,224
ripe ash,green,#5DBD19,93,189,25
pale cardboard,green,#7AF88A,122,248,138
muted cherry,red,#E397AF,227,151,175
vivid weed,green,#23C94C,35,201,76
cool blood,red,#734B29,115,75,41
pale soil,blue,#333A44,51,58,68
soft tin,blue,#4C8AE7,76,138,231
shaded garlic,red,#F889B7,248,137,183
dark ash,blue,#5B6A90,91,106,144
shaded elephant,green,#6BA162,107,161,98
pale grass,red,#B89F75,184,159,117
foggy gorilla,blue,#7D0AC2,125,10,194
shiny coffee,green,#40FEAA,64,254,170
vivid silhouette,red,#2E0108,46,1,8
dark tin,blue,#3E48FD,62,72,253
faded ash,green,#5CDA7C,92,218,124
fresh mustard,blue,#A38AE5,163,138,229
glowing elephant,blue,#B980EB,185,128,235
warm cotton,blue,#82F0FF,130,240,255
dark ash,green,#5EC6B0,94,198,176
smooth weed,blue,#216FD6,33,111,214
soft deer,green,#19E6CA,25,230,202
rich elephant,red,#7C605E,124,96,94
fresh sky,blue,#1F2B81,31,43,129
foggy fog,green,#21A867,33,168,103
dusty flour,red,#A7389B,167,56,155
frosted cardboard,red,#E4C9D3,228,201,211
soft salad,blue,#5152E5,81,82,229
raw foam,blue,#8E989A,142,152,154
deep spinach,red,#E41801,228,24,1
smooth snow,green,#04ECC5,4,236,197
muted vinyl,blue,#36D1F6,54,209,246
vivid fog,red,#C00E6C,192,14,108
warm lettuce,red,#CF2DC0,207,45,192
frosted deer,blue,#BB96BE,187,150,190
fresh silhouette,red,#E9407F,233,64,127
deep cello,red,#5B5608,91,86,8
matte lettuce,red,#CE9E06,206,158,6
earthy tin,red,#BC2681,188,38,129
bright silhouette,red,#6F3725,111,55,37
cool cockroach,green,#38D9A6,56,217,166
soft sea,blue,#3F8AA5,63,138,165
dense carrot,red,#AD1556,173,21,86
bright snow,green,#1B986B,27,152,107
raw crow,blue,#5950E6,89,80,230
cool strawberry,blue,#9347AB,147,71,171
vivid blood,red,#F20AEF,242,10,239
glowing garlic,red,#9D911B,157,145,27
dusty deer,blue,#4A48D7,74,72,215
glowing spinach,green,#5A8B68,90,139,104
pale salad,green,#35F34F,53,243,79
soft snow,green,#34A912,52,169,18
